distancia_km,pl_800,pl_1800,rsrp_800,rsrp_1800,cumple_800,cumple_1800,delta_rsrp_800_menos_1800,geometry
1.3028202647146978,130.28259568692368,144.4414995502165,-98.28259568692368,-112.44149955021649,True,False,14.158903863292807,POINT (439164.17051091086 4483844.022539812)
1.2794808357844074,130.00198353843294,144.16088740172574,-98.00198353843294,-112.16088740172574,True,False,14.158903863292807,POINT (439133.8273724066 4483826.578516603)
1.2566828462773802,129.72289482992227,143.8817986932151,-97.72289482992227,-111.8817986932151,True,False,14.158903863292835,POINT (439103.4842339023 4483809.134493395)
1.2344562945336763,129.44588388568826,143.6047877489811,-97.44588388568826,-111.6047877489811,True,False,14.158903863292835,POINT (439073.14109539805 4483791.690470185)
1.2105642991144734,129.14249824439779,143.3014021076906,-97.14249824439779,-111.30140210769059,True,False,14.158903863292807,POINT (439044.402234248 4483771.741920709)
1.1869272600527527,128.8363996357543,142.99530349904714,-96.8363996357543,-110.99530349904714,True,False,14.158903863292835,POINT (439015.8685612987 4483751.472994596)
1.1640565221121655,128.53436583858155,142.69326970187439,-96.53436583858155,-110.69326970187439,True,False,14.158903863292835,POINT (438987.18843181396 4483731.411833794)
1.1461330093208144,128.2934887294955,142.4523925927883,-96.2934887294955,-110.4523925927883,True,False,14.158903863292807,POINT (438956.0500905729 4483715.854348998)
1.1355720295565426,128.1497879552997,142.30869181859254,-96.1497879552997,-110.30869181859254,True,False,14.158903863292835,POINT (438922.40871494415 4483706.966934689)
1.1313461183510503,128.09191224570122,142.25081610899403,-96.09191224570122,-110.25081610899403,True,False,14.158903863292807,POINT (438887.64883845457 4483703.44412934)
1.1288483628004926,128.05760265027584,142.21650651356867,-96.05760265027584,-110.21650651356867,True,False,14.158903863292835,POINT (438852.7765507062 4483700.580148492)
1.1188460774569278,127.91944462000595,142.07834848329878,-95.91944462000595,-110.07834848329878,True,False,14.158903863292835,POINT (438820.00206565805 4483689.2352301255)
1.0979808462386182,127.627220851542,141.7861247148348,-95.627220851542,-109.78612471483481,True,False,14.158903863292807,POINT (438793.85885338625 4483666.543913803)
1.0678609522957487,127.19543738906098,141.3543412523538,-95.19543738906098,-109.3543412523538,True,False,14.15890386329282,POINT (438779.73989256273 4483635.05894464)
1.0332540141170896,126.68403360685996,140.84293747015278,-94.68403360685996,-108.84293747015278,True,False,14.15890386329282,POINT (438781.2272534083 4483600.433565131)
1.001220966056868,126.19516392798603,140.35406779127885,-94.19516392798603,-108.35406779127885,True,False,14.15890386329282,POINT (438796.5688266588 4483569.675765047)
0.9761434437765258,125.80140311316315,139.96030697645597,-93.80140311316315,-107.96030697645597,True,False,14.15890386329282,POINT (438822.3467042572 4483546.426825879)
0.9546369725740322,125.45557083035472,139.61447469364754,-93.45557083035472,-107.61447469364754,True,False,14.15890386329282,POINT (438850.93938354944 4483526.241219854)
0.9333457147385906,125.10543784965864,139.26434171295145,-93.10543784965864,-107.26434171295145,True,False,14.158903863292807,POINT (438879.0940000931 4483505.452779405)
0.9123721056380049,124.7526303115364,138.91153417482923,-92.7526303115364,-106.91153417482923,True,False,14.158903863292835,POINT (438906.8337239231 4483484.147621781)
0.8894350488145079,124.35738735225138,138.5162912155442,-92.35738735225138,-106.51629121554419,True,False,14.158903863292807,POINT (438932.29033397255 4483460.127609191)
0.8637619386614247,123.90272383056116,138.06162769385398,-91.90272383056116,-106.06162769385398,True,False,14.15890386329282,POINT (438954.22276062024 4483432.854436739)
0.8360410056228205,123.39636420451552,137.55526806780836,-91.39636420451552,-105.55526806780836,True,False,14.158903863292835,POINT (438972.66934895056 4483403.2287271535)
1.3028202647146978,130.28259568692368,144.4414995502165,-98.28259568692368,-112.44149955021649,True,False,14.158903863292807,POINT (439164.17051091086 4483844.022539812)
1.27777936825819,129.98132687820348,144.1402307414963,-97.98132687820348,-112.14023074149631,True,False,14.158903863292835,POINT (439135.05725976767 4483824.595275262)
1.2532156980119766,129.68000761730946,143.83891148060226,-97.68000761730946,-111.83891148060226,True,False,14.158903863292807,POINT (439105.9440086245 4483805.1680107135)
1.2291578651819655,129.37911310969875,143.53801697299156,-97.37911310969875,-111.53801697299156,True,False,14.158903863292807,POINT (439076.8307574813 4483785.740746164)
1.2046416946981275,129.0663656347929,143.22526949808574,-97.0663656347929,-111.22526949808574,True,False,14.158903863292835,POINT (439048.5181808342 4483765.198062855)
1.179902141753944,128.74424880407108,142.90315266736388,-96.74424880407108,-110.90315266736388,True,False,14.158903863292807,POINT (439020.798566024 4483743.829325064)
1.1556930888544326,128.4224332199248,142.58133708321762,-96.42243321992481,-110.58133708321762,True,False,14.158903863292807,POINT (438993.0789512138 4483722.460587273)
1.1303292758618413,128.07795387465376,142.23685773794656,-96.07795387465376,-110.23685773794656,True,False,14.158903863292807,POINT (438966.92279021215 4483699.2512580305)
1.1048332829141727,127.72379922254218,141.882703085835,-95.72379922254218,-109.882703085835,True,False,14.15890386329282,POINT (438941.3516419166 4483675.353216796)
